Student_ID,Gender,Age,Department,CGPA,Tenth_Percentage,Twelfth_Percentage,Degree_Percentage,Projects,Internships,Certifications,Coding_Skill,Communication,Aptitude,English,Leadership,Teamwork,Hackathons,Backlogs,Placement
49,Male,21,CSE,7.96,81,93,93,6,1,8,7,8,98,8,5,10,3,2,Yes
50,Male,24,CIVIL,5.94,68,95,68,2,0,2,4,3,75,2,3,1,3,3,No
51,Female,22,CSE,6.52,73,99,84,0,1,4,10,4,67,2,9,4,5,1,No
52,Female,21,CSE,5.76,74,93,91,2,3,1,8,5,84,7,5,9,4,3,Yes
53,Female,20,MECH,5.68,82,75,93,2,0,1,4,10,77,1,5,10,0,1,No
54,Female,24,CIVIL,7.45,72,66,92,3,3,1,8,6,66,6,6,2,1,2,Yes
55,Female,25,EEE,6.77,80,90,57,3,0,5,5,6,47,7,9,1,5,4,No
56,Female,23,CSE,6.33,78,94,86,5,3,0,4,5,75,3,5,8,5,3,Yes
57,Male,20,CIVIL,8.18,70,65,74,4,0,8,7,2,54,2,8,2,5,1,Yes
58,Female,25,ECE,7.74,72,81,85,3,1,7,9,3,64,4,10,9,5,1,Yes
59,Male,22,EEE,7.0,87,72,55,2,2,7,3,8,74,8,6,6,4,4,Yes
60,Female,23,ECE,9.33,99,70,91,3,1,6,1,6,87,8,7,7,5,5,Yes
61,Male,23,CSE,6.06,92,76,61,6,3,1,9,8,40,3,7,3,0,3,Yes
62,Female,22,MECH,8.55,96,60,76,6,3,5,8,9,42,10,2,4,5,5,Yes
63,Female,21,CIVIL,5.9,61,95,61,3,1,4,1,1,60,1,5,6,2,3,No
64,Male,21,MECH,7.31,98,66,65,1,0,6,10,4,71,10,3,4,3,5,No
65,Female,23,ECE,8.43,84,73,89,1,0,7,6,10,59,7,5,8,2,1,Yes
66,Female,23,CSE,6.54,91,77,91,2,2,0,7,5,40,10,1,10,5,3,No
67,Female,21,MECH,9.03,69,95,67,4,2,2,2,1,59,8,1,10,2,5,No
68,Male,20,ECE,6.94,81,66,67,1,2,8,9,5,93,3,5,8,2,5,Yes
69,Female,20,EEE,9.74,64,69,80,6,2,1,7,1,56,9,2,8,2,5,Yes
70,Female,24,EEE,9.12,78,61,69,3,0,8,6,10,54,2,8,5,5,3,Yes
71,Male,21,CSE,9.66,74,86,62,0,1,8,3,7,69,6,9,7,4,5,No
72,Male,23,CIVIL,5.94,86,94,81,2,0,5,4,8,68,4,6,2,5,2,No
73,Female,20,EEE,6.71,62,84,60,5,1,0,1,6,55,3,10,4,0,4,No
74,Male,24,IT,9.08,69,76,64,6,0,4,3,3,74,5,3,2,5,0,Yes
75,Male,20,ECE,8.98,70,92,75,0,1,4,1,3,87,7,9,2,5,0,Yes
76,Female,23,ECE,7.76,61,83,87,1,0,8,5,8,81,1,1,8,3,3,Yes
77,Male,23,CIVIL,9.5,59,60,75,4,1,1,3,5,79,10,9,6,3,4,Yes
78,Female,23,MECH,8.16,61,99,62,6,1,6,8,4,66,6,8,7,3,5,Yes
79,Male,22,EEE,6.88,71,78,64,5,3,1,2,2,45,7,2,6,1,4,No
80,Male,24,MECH,7.97,97,62,81,2,3,0,5,10,59,6,2,10,4,1,Yes
81,Male,25,EEE,6.49,61,77,90,2,0,4,10,4,91,7,9,10,4,5,No
82,Male,24,CIVIL,9.15,72,56,66,2,2,5,6,1,51,3,10,7,0,1,Yes
83,Male,20,CIVIL,7.83,79,81,84,2,1,5,5,6,89,10,10,2,0,1,Yes
84,Male,24,CSE,8.47,72,83,82,3,3,6,5,4,88,9,2,6,3,0,Yes
85,Female,25,CIVIL,8.11,88,97,74,0,1,6,10,1,40,4,5,4,1,2,No
86,Female,22,CSE,5.53,82,66,63,3,1,8,9,6,44,7,1,7,0,3,Yes
87,Male,22,MECH,7.39,80,95,81,2,0,6,1,6,50,10,8,6,0,3,No
88,Male,21,EEE,8.09,88,60,80,6,2,5,4,6,89,3,2,9,5,0,Yes
89,Male,22,ECE,8.7,96,64,70,0,1,4,4,3,78,3,2,3,5,3,No
90,Female,24,MECH,7.48,91,96,95,4,2,5,3,8,44,8,8,5,2,4,No
91,Male,22,MECH,5.83,84,83,57,0,2,4,2,2,79,10,9,7,3,4,No
92,Male,23,MECH,8.37,75,93,85,4,1,0,8,2,91,6,2,9,5,1,Yes
93,Male,21,CIVIL,7.43,83,88,88,4,1,5,6,5,64,7,6,10,0,5,No
94,Female,20,ECE,5.92,98,79,73,2,1,5,2,10,82,3,6,5,5,5,No
95,Female,21,MECH,8.62,60,74,90,3,2,2,9,2,81,7,9,6,0,2,Yes
96,Female,21,IT,7.0,86,67,69,1,1,1,5,2,72,9,9,1,5,2,No
97,Male,24,EEE,6.18,66,99,94,6,1,7,1,7,63,4,8,10,2,5,No
98,Female,21,MECH,6.55,85,67,78,5,3,7,5,7,72,9,7,3,1,4,Yes
99,Male,22,CSE,8.32,78,90,61,5,0,4,2,3,57,8,9,3,3,0,Yes
100,Male,23,ECE,9.59,81,58,80,4,2,3,7,2,63,4,1,6,0,5,Yes
101,Female,21,IT,5.67,85,99,63,6,3,7,10,1,97,2,1,5,1,1,Yes
102,Female,20,ECE,6.55,62,58,70,3,3,1,2,8,78,9,1,9,4,1,Yes
103,Male,22,EEE,5.51,77,70,91,3,1,1,9,6,44,9,9,9,4,4,No
104,Male,23,EEE,5.69,79,78,71,5,0,5,2,6,55,2,10,6,1,0,No
105,Female,24,ECE,9.08,66,98,84,5,3,2,3,2,85,8,1,5,1,0,Yes
106,Male,20,ECE,9.61,87,80,89,3,2,0,4,5,62,1,6,5,0,2,Yes
107,Female,23,CIVIL,7.43,79,76,66,3,3,5,9,5,91,2,7,2,3,4,Yes
108,Male,24,ECE,6.91,60,75,73,2,3,6,3,8,62,8,1,6,4,3,Yes
109,Female,25,CSE,5.83,95,80,78,4,1,0,3,10,83,8,1,3,0,1,Yes
110,Female,22,EEE,9.68,57,93,64,5,3,5,6,8,88,2,10,3,4,2,Yes
111,Female,22,CIVIL,6.73,62,56,66,3,3,8,2,5,89,5,8,4,4,2,Yes
112,Female,21,CSE,6.1,59,83,66,5,3,1,6,6,85,2,9,9,2,2,Yes
113,Male,25,CIVIL,9.58,95,66,78,4,1,1,4,3,55,8,1,6,4,4,No
114,Female,23,MECH,6.07,60,59,74,3,3,8,7,7,92,10,2,3,2,5,Yes
115,Male,23,EEE,8.49,77,63,90,5,1,2,7,9,98,1,2,9,1,2,Yes
116,Male,21,ECE,9.61,69,77,88,2,0,4,4,9,57,3,5,10,4,0,Yes
117,Male,24,MECH,6.18,97,94,93,2,0,0,2,1,100,10,5,4,4,3,No
118,Male,23,CIVIL,7.9,96,74,85,1,3,4,8,2,84,1,3,8,3,3,Yes
119,Female,21,ECE,8.17,75,75,77,3,1,5,9,9,46,6,4,8,0,2,Yes
120,Female,21,IT,5.93,73,79,94,3,1,2,6,10,86,6,4,3,3,4,No
121,Female,23,ECE,7.69,60,80,87,3,1,3,10,6,43,1,5,8,4,5,No
122,Female,22,MECH,5.54,61,82,63,2,2,6,6,1,65,1,10,9,1,2,No
123,Female,20,EEE,7.72,90,72,94,5,0,2,2,7,63,6,9,6,1,1,Yes
124,Female,24,CSE,5.7,63,76,85,4,3,2,10,9,48,6,10,6,1,3,Yes
125,Female,24,ECE,7.73,87,89,86,5,2,7,1,6,61,2,7,10,2,5,No
126,Male,24,EEE,6.67,96,92,91,1,0,7,3,9,80,10,7,3,5,1,Yes
127,Male,24,CIVIL,5.98,56,83,75,3,1,6,4,7,72,10,8,1,5,1,Yes
128,Male,24,ECE,9.89,85,88,79,2,1,7,9,6,74,6,5,10,3,1,Yes
129,Male,22,MECH,6.81,74,73,68,5,3,5,8,6,75,5,5,2,4,5,Yes
130,Female,23,ECE,9.7,64,73,57,2,0,5,8,5,87,8,4,4,4,2,Yes
131,Female,21,CSE,8.21,92,70,70,0,1,3,1,2,66,6,8,2,5,1,No
132,Male,24,IT,7.29,85,85,67,6,2,5,5,1,98,2,10,4,4,5,No
133,Male,21,EEE,9.38,66,57,80,6,3,2,5,1,40,5,10,10,0,2,Yes
134,Female,23,CIVIL,7.89,86,63,87,3,2,3,2,6,50,8,5,3,0,5,No
135,Female,22,MECH,8.47,67,66,94,6,3,6,9,6,45,7,2,3,1,3,Yes
136,Female,21,CSE,6.65,70,83,72,2,2,0,5,6,84,4,1,2,3,2,No
137,Male,23,CIVIL,7.71,74,99,62,5,2,5,10,4,54,3,8,3,3,5,Yes
138,Female,23,CIVIL,7.92,85,89,68,6,1,1,9,8,73,6,2,10,0,0,Yes
139,Male,24,MECH,6.16,75,88,83,0,1,7,2,9,68,1,8,3,4,3,No
140,Female,24,CSE,7.96,98,74,56,3,2,0,4,10,44,1,7,6,5,0,Yes
141,Male,20,EEE,5.64,81,66,63,6,3,5,7,8,95,7,7,2,5,5,Yes
142,Male,25,ECE,6.02,89,80,88,1,1,0,1,5,69,9,7,9,3,1,No
143,Male,23,ECE,6.18,67,62,57,6,3,0,4,4,44,2,10,1,3,4,No
144,Male,21,CIVIL,5.69,83,69,89,1,0,2,9,5,54,10,6,10,4,5,No
145,Female,21,ECE,9.36,97,88,69,3,2,4,1,9,100,10,3,7,4,3,Yes
146,Male,22,CIVIL,8.45,88,75,81,3,1,4,7,3,88,9,8,4,1,2,Yes
147,Male,23,CSE,7.97,81,90,88,1,3,3,5,4,61,2,8,6,0,4,No
148,Male,20,ECE,7.16,93,93,57,6,0,3,10,9,53,8,4,6,2,0,Yes
149,Male,21,CIVIL,6.02,85,70,93,5,1,6,4,9,60,5,7,8,4,5,No
150,Female,22,ECE,7.08,86,84,61,6,3,5,4,6,60,7,1,10,1,5,Yes
151,Male,20,ECE,7.93,92,92,81,2,1,3,6,4,64,10,4,8,4,5,No
152,Female,22,EEE,9.75,96,86,84,1,2,2,3,9,71,3,9,1,4,0,Yes
153,Male,25,CSE,8.86,81,63,95,1,0,2,1,4,72,8,6,1,4,5,No
154,Female,25,EEE,5.57,89,90,81,0,0,8,5,9,58,1,9,7,1,0,No
155,Male,24,IT,6.56,94,88,71,6,2,4,7,2,63,7,8,10,1,5,Yes
156,Male,22,CIVIL,9.14,60,96,57,0,3,6,7,9,70,1,1,3,0,3,Yes
157,Female,25,ECE,7.99,61,88,57,1,1,7,5,1,99,2,5,9,4,5,No
158,Male,21,ECE,5.57,68,92,64,6,3,1,5,3,76,4,10,7,5,4,No
159,Female,23,CIVIL,6.12,99,60,87,5,2,0,2,7,54,2,6,10,4,4,No
160,Female,22,CSE,8.29,83,86,69,2,3,6,3,10,82,7,2,10,2,1,Yes
161,Male,20,ECE,6.18,95,64,79,2,2,1,2,1,100,5,8,6,2,0,No
162,Male,20,IT,7.4,90,90,87,3,0,0,2,6,75,2,10,10,2,3,No
163,Male,22,EEE,7.21,60,90,70,4,1,6,3,3,57,5,5,8,1,0,Yes
164,Male,23,ECE,7.35,85,59,78,2,1,7,10,10,52,8,2,3,2,0,Yes
165,Female,22,MECH,7.17,76,83,76,3,1,4,6,10,100,4,8,6,1,3,Yes
166,Female,22,CIVIL,8.56,86,91,70,2,3,4,7,6,47,10,4,10,4,1,Yes
167,Male,25,EEE,9.65,68,83,73,6,0,6,8,3,80,5,4,5,5,1,Yes
168,Female,23,CSE,7.48,93,85,92,3,3,8,1,6,84,9,10,2,0,1,Yes
169,Female,21,CIVIL,8.2,91,96,80,6,2,6,2,1,46,5,4,9,5,4,No
170,Male,23,ECE,7.22,98,92,87,1,2,0,8,2,58,7,2,2,5,1,No
171,Female,22,ECE,7.5,68,88,85,2,3,1,8,8,60,2,5,1,5,0,Yes
172,Male,22,CIVIL,5.98,65,70,88,1,1,5,9,7,69,4,7,3,1,5,No
173,Female,23,CSE,8.74,67,83,92,3,3,0,4,4,57,2,10,2,4,1,Yes
174,Female,22,IT,7.51,71,97,86,4,2,6,10,7,77,2,6,6,3,4,Yes
175,Male,25,CIVIL,9.02,94,92,60,5,1,5,2,4,59,2,3,6,5,1,Yes
176,Female,23,MECH,6.11,79,82,66,3,1,8,3,8,58,3,3,6,3,4,No
177,Male,22,CSE,7.63,67,79,90,4,3,6,8,7,85,8,8,3,0,4,Yes
178,Male,21,ECE,5.64,69,89,73,1,3,7,9,9,47,10,2,5,4,2,Yes
179,Male,25,EEE,7.9,82,61,70,2,0,7,5,6,95,2,8,2,1,1,Yes
180,Female,25,MECH,8.28,65,94,63,6,1,3,1,10,62,9,5,10,4,1,Yes
181,Female,25,ECE,6.77,72,87,61,1,3,0,5,3,84,3,4,3,5,2,No
182,Male,25,EEE,7.65,91,95,72,5,3,6,8,2,80,2,7,9,5,2,Yes
183,Female,23,EEE,6.94,55,60,84,5,2,1,9,7,53,7,4,8,2,2,Yes
184,Female,22,MECH,8.04,91,86,76,5,0,0,2,8,41,2,3,8,3,0,Yes
185,Female,21,CIVIL,9.5,96,74,65,6,2,1,6,5,45,6,3,1,3,5,Yes
186,Female,25,CIVIL,8.82,82,96,60,5,0,0,4,8,44,3,10,4,4,5,No
187,Female,20,CSE,8.56,62,82,63,3,0,3,7,2,86,2,2,6,2,2,Yes
188,Male,23,IT,8.32,98,64,59,4,0,2,8,6,86,4,3,7,4,5,No
189,Female,21,CSE,9.45,63,62,92,5,3,5,7,6,90,3,4,5,5,0,Yes
190,Male,24,MECH,8.14,93,73,56,6,2,3,9,10,72,4,7,5,5,0,Yes
191,Male,23,EEE,6.0,86,95,93,0,0,5,6,3,64,10,7,6,4,5,No
192,Male,23,CSE,5.57,59,55,71,1,0,0,7,9,58,9,7,7,5,3,No
193,Male,25,MECH,7.87,64,72,60,2,0,8,4,3,74,6,7,10,5,5,No
194,Male,22,CIVIL,7.42,70,58,70,0,3,1,8,10,78,1,5,3,0,0,Yes
195,Male,25,CSE,6.22,77,88,88,6,2,2,6,3,87,5,2,1,2,3,Yes
196,Female,24,CSE,6.66,91,95,59,3,3,8,6,1,71,10,3,6,1,2,Yes
197,Male,24,CIVIL,8.68,69,87,55,0,0,3,1,8,63,7,3,3,0,4,No
198,Female,21,ECE,6.59,75,72,59,4,2,1,9,1,51,4,9,1,3,0,Yes
199,Female,22,ECE,6.94,90,84,55,2,1,4,10,5,87,10,4,8,2,4,Yes
200,Female,21,CIVIL,9.46,70,64,55,3,0,3,9,6,80,1,6,1,5,3,Yes
201,Female,20,IT,7.83,70,81,86,0,1,4,2,1,98,4,9,7,5,2,No
202,Female,25,CSE,8.06,87,63,95,6,3,1,10,10,43,7,3,4,2,2,Yes
203,Female,23,CIVIL,9.16,75,75,83,2,1,1,4,3,89,10,2,3,0,1,Yes
204,Female,23,ECE,7.29,89,77,68,3,2,7,5,2,45,3,5,10,0,1,Yes
205,Female,21,CSE,8.63,77,80,87,0,2,4,3,1,100,7,8,9,5,4,No
206,Male,20,EEE,5.95,63,62,55,0,1,2,4,7,63,2,10,10,2,0,No
207,Male,20,IT,9.47,83,63,60,6,2,1,1,8,43,3,10,7,5,3,Yes
208,Female,20,EEE,8.51,66,77,68,1,2,4,8,3,42,10,10,10,1,5,No
209,Female,23,EEE,9.38,85,58,60,2,3,2,7,4,81,9,4,9,0,3,Yes
210,Female,23,MECH,8.94,77,91,87,2,3,4,3,1,60,10,4,1,2,0,Yes
211,Female,24,ECE,8.87,69,65,61,1,1,4,9,1,88,4,10,7,2,1,Yes
212,Male,21,MECH,6.9,99,77,92,0,2,2,10,4,93,8,9,5,1,3,Yes
213,Male,20,CSE,6.52,69,56,88,3,0,5,10,4,91,3,6,3,2,0,Yes
214,Male,21,MECH,8.6,64,62,88,6,2,1,6,7,77,2,6,5,2,1,Yes
215,Male,25,EEE,8.98,86,96,75,1,2,3,10,3,64,5,5,3,1,5,No
216,Male,25,MECH,7.22,91,57,66,4,2,3,10,2,99,8,3,6,5,0,Yes
217,Male,22,ECE,6.24,60,97,95,5,2,7,1,5,53,4,2,6,2,0,Yes
218,Male,20,EEE,7.43,81,65,81,3,3,5,9,7,46,8,10,4,1,3,Yes
219,Male,20,ECE,5.59,71,61,59,2,1,6,3,2,75,2,6,10,4,3,No
220,Male,23,CIVIL,6.23,82,65,58,0,2,3,4,7,84,9,9,5,5,2,No
221,Female,21,CSE,5.72,91,90,86,1,0,5,1,7,45,5,10,8,1,0,No
222,Male,21,IT,8.31,60,85,62,2,3,7,8,5,45,9,7,3,2,3,Yes
223,Female,21,EEE,5.7,83,84,71,1,2,0,3,2,45,6,9,7,4,1,No
224,Male,23,MECH,7.34,89,98,85,4,1,7,5,2,65,1,9,10,4,4,No
225,Male,20,EEE,6.26,65,68,67,1,0,6,2,7,52,3,10,5,2,5,No
226,Male,20,EEE,7.95,90,75,72,4,3,0,10,10,73,7,2,7,1,1,Yes
227,Male,20,MECH,8.93,73,89,77,3,2,6,8,10,78,8,1,3,2,3,Yes
228,Male,24,MECH,8.5,80,57,80,2,1,0,8,5,97,6,1,6,2,2,Yes
229,Female,23,CIVIL,8.51,69,63,74,5,3,5,5,7,78,2,4,8,1,3,Yes
230,Female,24,ECE,9.11,87,65,59,2,3,2,9,10,41,3,4,4,0,1,Yes
231,Male,23,CSE,9.54,67,72,78,6,3,8,7,2,83,1,4,6,3,4,Yes
232,Female,21,EEE,8.08,77,77,65,6,2,1,5,1,64,1,3,10,1,1,Yes
233,Male,25,IT,6.68,81,87,56,6,0,7,3,3,78,1,4,5,4,2,No
234,Female,23,EEE,9.25,84,71,68,3,2,8,10,7,77,2,1,9,5,2,Yes
235,Female,22,CIVIL,5.98,59,76,72,5,2,4,5,5,52,3,9,4,0,4,No
236,Female,25,ECE,8.5,56,96,86,2,2,6,7,7,87,1,10,10,1,2,Yes
237,Male,25,MECH,8.31,85,97,77,4,2,2,9,3,58,2,8,3,5,2,Yes
238,Male,25,ECE,8.38,69,77,69,5,2,6,6,6,56,10,5,8,0,3,Yes
239,Male,25,MECH,8.05,94,59,85,1,0,6,9,5,66,1,3,3,1,2,No
240,Female,24,EEE,6.13,66,60,86,2,1,5,1,1,68,5,4,3,4,1,No
241,Female,20,IT,8.2,95,82,80,3,3,6,1,1,74,4,6,1,2,4,No
242,Male,20,CIVIL,5.52,70,69,77,2,1,1,7,9,77,5,3,2,0,2,No
243,Female,23,CIVIL,7.79,88,76,82,5,1,5,8,6,88,4,3,7,0,1,Yes
244,Male,25,IT,6.43,56,92,87,1,0,5,1,7,96,5,9,10,0,4,No
245,Male,25,CSE,8.38,56,58,62,3,3,6,2,9,56,8,3,4,5,5,Yes
246,Male,22,EEE,8.41,97,88,72,4,1,6,2,9,86,10,2,5,0,0,Yes
247,Female,21,MECH,6.38,71,88,67,2,3,4,3,1,75,8,4,8,2,1,Yes
248,Male,20,CIVIL,5.89,62,91,86,1,0,8,2,2,97,5,4,8,2,2,No
249,Female,20,CSE,9.08,57,73,78,6,2,6,2,2,94,1,1,3,5,5,Yes
250,Male,22,ECE,9.44,94,72,60,2,2,2,2,7,65,8,5,7,5,3,Yes
251,Female,25,IT,6.0,99,58,65,0,3,7,10,8,51,10,7,6,4,0,Yes
252,Male,23,EEE,6.0,81,83,57,0,2,5,1,9,89,10,10,4,5,2,No
253,Male,23,CIVIL,8.7,85,77,79,1,0,0,3,9,94,8,8,3,0,3,No
254,Female,21,ECE,9.77,58,87,69,4,3,6,4,2,69,8,10,8,0,3,Yes
255,Female,22,CSE,9.81,96,56,61,3,3,0,9,9,40,2,10,10,5,2,Yes
256,Male,25,CIVIL,7.51,76,78,58,6,1,7,6,9,89,10,10,8,5,5,Yes
257,Female,25,EEE,6.0,97,69,55,2,2,4,9,9,63,2,1,3,3,1,Yes
258,Female,20,ECE,8.19,67,62,80,1,3,3,6,2,88,7,1,10,0,3,Yes
259,Female,25,MECH,9.71,63,86,55,4,0,8,7,10,70,9,3,10,1,5,Yes
260,Male,20,EEE,8.39,93,75,87,3,3,3,5,7,61,5,8,3,1,3,Yes
261,Female,25,MECH,9.29,90,95,68,1,1,4,6,3,85,3,9,9,5,5,No
262,Female,25,CSE,8.85,90,85,92,4,3,8,5,7,91,1,9,2,0,3,Yes
263,Male,20,CIVIL,5.75,72,65,73,5,2,2,1,5,53,9,1,6,3,0,Yes
264,Male,25,CIVIL,7.97,70,87,73,5,0,6,7,7,90,6,9,1,0,5,Yes
265,Female,21,MECH,9.32,83,69,95,5,2,8,10,4,89,4,5,8,1,5,Yes
266,Male,21,IT,8.73,62,79,57,3,2,8,5,3,50,10,5,1,2,3,Yes
267,Male,20,IT,9.59,93,58,95,4,2,7,10,9,62,2,6,9,1,1,Yes
268,Male,24,IT,7.33,89,80,60,2,1,3,6,6,63,5,4,10,4,3,No
269,Male,20,CIVIL,7.02,70,96,94,4,1,0,6,7,98,2,7,5,4,5,No
270,Female,20,MECH,9.12,78,87,87,3,3,0,5,4,60,9,2,2,1,4,Yes
271,Male,25,CSE,6.43,95,68,82,6,0,3,9,7,81,2,3,1,3,5,No
272,Female,20,CSE,5.82,66,71,90,0,1,4,7,7,68,7,7,6,0,3,No
273,Male,24,CSE,8.32,94,59,92,0,0,5,9,2,58,5,10,2,2,3,No
274,Female,23,CIVIL,5.64,65,89,69,1,3,8,5,3,59,6,1,9,4,1,Yes
275,Male,20,CSE,8.02,80,89,90,0,2,3,6,4,66,9,3,3,1,1,Yes
276,Female,21,CSE,6.3,91,58,90,3,0,4,2,5,46,4,10,8,2,2,No
277,Male,25,CIVIL,6.53,73,94,59,1,2,7,8,6,79,5,10,3,4,4,No
278,Female,22,EEE,6.24,75,70,69,5,3,4,6,3,83,6,8,8,3,2,Yes
279,Female,23,MECH,5.98,96,93,60,6,2,2,9,4,56,2,2,1,4,5,No
280,Male,24,MECH,7.28,92,68,57,4,2,8,9,8,81,3,6,7,1,4,Yes
281,Female,21,EEE,7.7,60,80,78,4,0,3,10,3,88,9,3,8,1,1,Yes
282,Male,25,CIVIL,7.63,77,57,69,6,3,3,2,5,63,4,1,4,4,2,Yes
283,Female,23,EEE,9.38,57,96,75,0,2,4,10,9,76,3,7,7,2,4,Yes
284,Male,24,ECE,7.16,69,88,80,2,2,7,8,10,40,9,3,8,1,1,Yes
285,Male,24,CIVIL,6.74,64,66,65,2,0,3,7,6,86,2,8,8,3,1,Yes
286,Male,25,EEE,5.6,57,63,91,4,1,2,9,1,97,10,3,1,1,2,Yes
287,Male,24,EEE,8.14,91,95,56,5,2,1,4,8,78,8,8,3,1,3,Yes
288,Male,24,IT,8.24,87,71,65,5,2,7,10,10,44,4,7,7,1,0,Yes
289,Male,21,MECH,9.28,87,98,81,6,1,1,3,8,97,10,10,1,4,4,Yes
290,Male,20,EEE,8.4,93,89,55,6,3,8,7,6,95,1,9,7,1,3,Yes
291,Female,22,MECH,9.04,99,91,61,3,1,4,8,4,98,2,5,10,4,3,Yes
292,Female,21,CSE,8.62,55,91,88,0,0,6,4,6,66,6,2,3,3,5,No
293,Female,22,MECH,7.36,78,94,72,5,3,3,7,9,90,9,8,3,2,4,Yes
294,Female,22,ECE,8.04,80,63,62,5,1,7,3,2,53,9,7,6,4,4,No
295,Male,21,EEE,9.74,55,60,64,3,3,1,2,5,54,6,2,10,0,5,No
